timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704185118639,1,-19,14,12,8,3,1,5
1456704185125640,-9,1,-20,-1,-4,-5,-3,-8
1456704185125640,8,0,3,-5,-4,-3,-1,3
1456704185140641,5,-2,-6,2,0,0,0,-1
1456704185140641,1,1,23,3,0,0,-1,2
1456704185147641,5,2,-18,-3,-1,-1,0,0
1456704185147641,-13,-20,-10,-10,-5,-4,-4,-2
1456704185155647,-4,1,3,4,2,-2,1,-2
1456704185155647,6,5,-9,-2,-2,-1,0,1
1456704185163148,-3,-7,13,0,-2,-2,-4,-7
1456704185163148,-7,10,-6,-2,1,1,1,2
1456704185178653,0,5,-1,-3,-1,-2,-2,-1
1456704185178653,0,-4,1,14,-1,-2,-2,-1
1456704185185653,-1,1,-22,-30,-2,-2,-1,-3
1456704185185653,-2,-10,26,7,1,0,-1,-3
1456704185192753,-4,-15,-19,-13,-5,-1,-1,-3
1456704185192753,-5,13,-1,3,-3,-1,-4,-1
1456704185207655,-5,1,24,10,1,-1,-5,3
1456704185207655,-7,4,-25,-7,0,0,3,-7
1456704185215740,5,4,4,0,-3,-1,-1,10
1456704185215740,-1,-2,-2,2,2,0,-3,4
1456704185230661,9,5,-6,-8,-2,1,-3,3
1456704185230661,-3,-7,-6,-4,-2,-3,-1,-2
1456704185238851,-2,10,16,10,3,-1,0,-4
1456704185238851,-3,-3,-11,-11,-5,0,-1,-1
1456704185245656,-3,3,18,9,1,0,2,2
1456704185245656,-2,2,-5,2,3,0,-8,-5
1456704185252851,12,-7,-8,-9,-4,-1,2,3
1456704185252851,-13,-10,21,-3,0,-1,0,-3
1456704185268108,0,-4,-4,7,2,-1,0,-3
1456704185268108,-2,-2,17,0,-2,-2,0,5
1456704185275610,3,3,-12,-4,-1,-1,-3,0
1456704185275610,-3,5,1,-10,-1,-1,1,-2
1456704185290610,-2,-2,-3,5,1,-1,-1,0
1456704185290610,-3,13,7,2,-1,-1,3,-6
1456704185298609,-7,-11,-22,0,-2,-1,-2,7
1456704185298609,-1,2,-10,-1,-3,-3,-1,0
1456704185305612,-3,-6,4,-1,-2,-1,-2,-8
1456704185305612,-5,8,5,-2,0,0,-4,-7
1456704185312365,-8,-29,-3,0,0,1,1,2
1456704185312365,3,0,-22,-8,-4,-3,-4,-7
1456704185327563,5,0,2,-2,-4,-2,-5,-8
1456704185327563,6,3,18,-2,-3,-1,0,9
1456704185335617,-15,3,5,1,1,0,11,-6
1456704185335617,0,7,9,2,-1,-2,-3,5
