timestamp,x,y,z
1456704192935313,7.1875,-3.25,-5
1456704192956626,3.75,-4.875,-2.75
1456704192980337,0.6875,-1.125,1.1875
1456704192995336,-3.0625,1.4375,2.3125
1456704193016555,-2.8125,1.4375,1.1875
1456704193038551,2.375,1.875,-0.875
1456704193055339,2.4375,0.875,-0.5625
1456704193076945,1.4375,-1.0625,-1.25
1456704193098487,0.1875,-1.375,-0.75
1456704193115354,-0.4375,-0.5625,0.3125
1456704193136584,-0.5,-0.25,0.1875
1456704193158643,0.5,-0.375,0
1456704193174945,0.9375,-0.4375,-0.0625
1456704193196388,0.8125,-0.8125,0.0625
1456704193218603,1.1875,-0.75,0.25
1456704193234391,1.9375,-0.5625,-0.1875
1456704193256399,1.0625,-1,-0.375
1456704193279261,0.5,-1.5,-0.6875
1456704193294256,1,-1.25,-0.375
1456704193318257,1.3125,-1,-0.25
1456704193338545,0.4375,-0.8125,0
1456704193354260,0.375,-0.6875,-0.125
1456704193377788,-0.125,-0.5625,0
1456704193398514,0.5,-0.9375,0.1875
1456704193414298,0.4375,-1,0.3125
1456704193445305,-0.125,-0.6875,0.375
1456704193458300,-0.4375,-0.5,0.0625
1456704193474936,-0.5625,-0.875,-0.4375
1456704193497571,-0.1875,-1.4375,-0.375
1456704193518804,0.25,-1.5625,-0.1875
1456704193541800,0.4375,-1.1875,-0.0625
1456704193557804,-0.8125,-1.1875,-0.5
1456704193578807,-4.6875,-2.3125,-1.375
1456704193593812,-9.3125,-2.625,-2.375
1456704193617938,-11.1875,-2.5625,-1.5625
1456704193638930,-7.0625,-1.625,-2.125
1456704193654931,-3.25,-0.8125,-1.5
1456704193677324,0.4375,-0.625,0.0625
1456704193698904,-2.0625,-0.75,3.5625
1456704193713833,-1.625,2.375,4.8125
1456704193737002,-0.1875,0.9375,1.0625
1456704193759002,3.625,-0.6875,-0.9375
1456704193774346,9.5,-2.0625,1.1875
1456704193796855,15.6875,-0.9375,0.0625
1456704193820002,1.625,3.25,7.5
1456704193834965,-10.8125,6.4375,8.875
1456704193856858,-17.875,3.5,2.5625
1456704193878869,2.4375,3,-1.375
1456704193893994,10.375,1.625,-1.625
1456704193917054,7.375,-2.0625,-3.4375
1456704193938996,3.875,-3.375,-1.125
1456704193961962,-0.75,-0.875,0.0625
1456704193977392,-2.6875,0.8125,1.0625
1456704193998609,-1.1875,1.1875,0.375
1456704194021685,2.0625,1.6875,1
1456704194037400,3.3125,0.75,0.375
1456704194058408,1.9375,-0.5,-0.9375
1456704194081919,0.3125,-1.1875,-0.9375
1456704194096921,0.125,-0.5,0.0625
1456704194117921,-0.0625,-0.3125,0.1875
1456704194141922,0.125,-0.5,-0.0625
1456704194157923,0.9375,-0.125,0
1456704194178932,0.75,0.3125,-0.0625
1456704194201994,0.6875,-0.1875,-0.1875
1456704194216988,0.3125,-0.125,-0.3125
1456704194238986,-0.125,-0.25,-0.25
1456704194260951,-0.6875,0.125,0.125
1456704194277457,-1,0.375,0.25
1456704194299967,-0.9375,0.625,0
1456704194321983,0.0625,0.125,0.25
1456704194336972,1,-0.1875,0.0625
1456704194367516,1.125,-0.75,-0.3125
1456704194380991,0.5625,-1.125,-0.3125
1456704194396992,0.8125,-0.5625,0
1456704194419992,0.5,-0.1875,0.25
1456704194441993,0.5625,0.0625,0.5
1456704194456995,0.625,-0.125,0.375
1456704194480006,0.125,-0.375,0.125
1456704194501300,-0.9375,-0.5,0.3125
1456704194517014,-1.4375,-0.0625,0.0625
