timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704055267185,-8,-5,-13,-21,-3,-3,-3,0
1456704055267185,-3,3,17,11,2,-1,-3,-2
1456704055282185,-1,3,6,-1,-2,-2,1,0
1456704055282185,-3,-7,26,0,6,-1,-8,-9
1456704055289186,3,7,-6,10,-11,-2,5,3
1456704055289186,-8,3,-16,-17,-6,-2,-9,-1
1456704055299186,20,-4,-1,9,8,3,-7,-6
1456704055299186,0,13,-3,-9,-2,-1,19,1
1456704055313188,-3,-14,6,-1,-1,0,-2,-3
1456704055313188,9,1,-11,6,0,-3,-3,0
1456704055319195,-4,-6,4,-14,0,-2,0,4
1456704055319195,0,5,-4,-14,5,0,-7,1
1456704055327195,0,2,4,-6,-21,-2,0,-5
1456704055327195,-6,1,-23,1,1,-1,3,-1
1456704055342201,-5,-11,13,0,0,-1,-4,-3
1456704055342201,2,-1,-31,-1,-1,-3,-6,2
1456704055349201,4,0,1,15,10,1,-1,-2
1456704055349201,-6,1,-17,-15,-5,-2,-7,-3
1456704055359201,1,5,2,10,2,2,0,4
1456704055359201,-4,-6,8,-6,1,3,6,3
1456704055373202,-9,-15,-8,12,-3,-2,-4,-4
1456704055373202,3,-4,9,0,1,1,5,1
1456704055379203,-10,1,-23,-16,-4,-1,-7,1
1456704055379203,2,-1,1,-10,-5,0,-3,1
1456704055387203,4,7,-8,-2,2,1,-2,1
1456704055387203,-3,-6,8,25,5,-1,4,-1
1456704055402204,-7,-6,-14,-30,-1,-2,0,-5
1456704055402204,-3,-7,-9,-29,-15,-5,-5,-3
1456704055409205,0,-4,2,14,2,-2,-2,-2
1456704055409205,1,3,12,-18,-12,-1,-12,-6
1456704055418760,-1,3,-11,16,0,0,29,6
1456704055418760,-3,-8,-11,0,3,-2,-9,-10
1456704055433232,-7,3,12,7,5,-1,1,1
1456704055433232,4,-3,3,2,3,2,-1,1
1456704055439233,4,1,6,2,-3,-1,-7,-2
1456704055439233,0,0,7,6,-5,-2,-1,-1
1456704055447233,-9,-6,5,-7,0,-1,1,3
1456704055447233,5,5,-21,-13,-3,-1,-1,-4
1456704055462242,8,-5,3,11,-1,-3,-3,4
1456704055462242,1,11,-16,3,1,-4,-5,-2
1456704055469234,-2,-14,-3,-7,4,1,-6,-2
1456704055469234,-8,-5,10,-18,-14,-3,0,-1
1456704055479234,3,6,3,8,1,-2,7,-4
1456704055479234,4,4,1,4,1,5,5,9
1456704055492235,1,-5,26,13,2,-1,-6,-8
1456704055492235,-1,-10,-14,1,6,-2,3,-6
1456704055500236,-13,14,-12,-25,-17,-7,-11,-5
