timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456703941256292,-3,-1,14,15,-2,-6,-6,-2
1456703941256292,-1,-3,-29,-4,-3,0,0,-1
1456703941271253,0,1,19,4,2,-1,2,-1
1456703941271253,0,1,-14,-17,0,5,-1,-3
1456703941278253,-1,-2,-2,-6,-2,-3,-1,-3
1456703941278253,-3,-2,7,11,-5,-3,-4,-5
1456703941287253,-1,-2,-13,-4,1,-3,-3,-1
1456703941287253,-2,-4,14,-5,-10,-7,-3,-1
1456703941301255,0,0,-13,-36,-1,3,1,1
1456703941301255,5,0,14,9,2,0,-2,1
1456703941308255,-8,-1,-9,-2,-3,0,4,2
1456703941308255,0,0,-3,2,-1,-2,-3,-3
1456703941316256,-4,0,-14,2,1,0,1,-2
1456703941316256,0,0,11,8,-2,-1,-1,2
1456703941331798,4,0,2,-1,0,1,-1,-3
1456703941331798,-1,1,1,10,1,0,1,1
1456703941338268,-2,-2,-2,-17,-2,-3,-2,-2
1456703941338268,-3,-6,-8,-12,2,0,0,-1
1456703941347267,1,0,29,15,-4,-4,-2,-2
1456703941347267,1,1,-3,-7,-3,-3,0,-1
1456703941361269,3,-3,-1,18,4,4,2,1
1456703941361269,-5,-1,-7,5,-2,-1,-1,-1
1456703941368269,-2,1,9,-11,-11,-4,0,0
1456703941368269,-2,-3,-3,-19,5,5,0,1
1456703941376269,0,-3,-4,0,-2,-4,-1,-1
1456703941376269,-1,-1,9,17,0,3,1,-1
1456703941391275,-2,2,4,-22,-6,-4,-4,-2
1456703941391275,0,-6,-17,11,1,-4,-2,-3
1456703941398270,-3,-1,-31,10,2,0,1,-3
1456703941398270,-3,-7,-20,-16,-5,-3,-1,-2
1456703941407271,0,-7,3,16,-1,-3,-4,-2
1456703941407271,4,-3,-9,-62,-3,-1,0,0
1456703941422071,-8,-2,25,42,9,2,-3,1
1456703941422071,0,-1,26,6,-5,-3,1,-4
1456703941428981,2,0,-23,-6,3,0,2,2
1456703941428981,-1,2,7,1,-2,-3,-1,-1
1456703941436390,1,-1,-8,-18,-6,-5,0,-2
1456703941436390,-3,4,13,4,1,-4,-2,-2
1456703941452180,-3,-3,14,18,6,4,2,-1
1456703941452180,-4,-3,-16,-12,-3,-2,-3,-2
1456703941459181,0,-1,8,0,-1,1,0,0
1456703941459181,-1,-4,-12,1,-4,-3,-8,-2
1456703941474181,-4,0,-5,-26,-4,-1,1,1
1456703941474181,-4,-7,1,19,-1,4,2,0
1456703941481459,0,1,16,0,-1,-4,-2,-2
1456703941481459,-3,-5,-39,-8,-1,-2,-3,-3
1456703941496183,1,2,13,-2,0,0,-2,-1
1456703941496183,-1,-7,-11,0,-1,-4,-3,-1
1456703941497190,-2,9,34,3,-3,-1,-2,-2
1456703941497190,1,0,-12,2,2,3,2,-1
1456703941511397,0,0,-2,-8,-1,0,-5,-2
1456703941511397,-3,15,15,16,0,0,-1,1
1456703941518383,-1,-20,-31,-6,-2,-3,0,-3
1456703941518383,-4,-3,15,-16,-10,-1,-1,-3
1456703941533937,0,0,-6,30,17,6,0,0
1456703941533937,-1,0,3,-10,-2,-4,-4,-2
1456703941541595,1,6,-3,7,2,-1,-1,0
1456703941541595,-2,3,9,6,-6,-5,-1,0
1456703941556606,-2,-7,-7,-21,-10,1,1,0
1456703941556606,1,2,7,-2,-1,0,0,-2
1456703941564401,-2,-7,-25,-2,-3,-1,-4,-1
1456703941564401,1,0,15,4,4,1,-1,0
1456703941571689,-2,6,1,-3,-2,-3,-1,-2
1456703941571689,-1,-2,2,4,-1,-3,-1,-1
1456703941578686,-1,-4,-16,-43,-8,-1,0,-1
1456703941578686,-1,1,19,20,3,3,-1,0
1456703941593688,-2,-5,8,-3,1,1,-1,0
1456703941593688,-1,-5,-19,11,-3,-2,4,-1
1456703941601693,0,3,-6,0,-3,-1,-1,0
1456703941601693,2,3,-7,-4,2,0,-1,0
1456703941616404,-3,-7,-6,0,-4,-4,-3,-2
1456703941616404,-4,1,1,-9,-4,0,-1,-3
1456703941617404,2,-2,-6,8,2,0,-1,0
1456703941617404,-2,1,47,4,2,0,2,-3
1456703941631701,-3,5,-39,-12,-5,-5,-4,-2
